occupation,tier,2005,2009,2012,2015,2019,2021,2022,2023
Home Health Aide,red,1953,2162,2178,2347,2611,3025,2842,3121
Childcare Worker,red,1752,1948,2090,2087,2460,2594,3227,3259
Restaurant / Food Service,red,1434,1579,1612,1650,2184,2532,2818,2936
Elementary School Teacher,yellow,4530,5218,5502,5907,6832,6683,6735,6996
Bus / Transit Driver,yellow,2407,2792,2911,3858,4108,5242,4422,5209
Firefighter,yellow,3828,4208,4551,4994,5208,5168,5376,6253
Registered Nurse,yellow,5549,6706,6738,7199,7540,7952,8312,8363
Software Developer,green,7202,8384,8101,8844,10125,10765,11128,11591
